aAID,assignmentID,name,aDesc,submitType,aStart,aOver
25,1,assignment week2,recall math sma 1,.pdf,2020-03-01 7:30:00,2020-03-01 23:30:00
26,2,assignment week3,recall math sma 2,.pdf,2020-03-20 7:30:00,2020-03-20 23:30:00
27,3,assignment week4,pertidaksamaan,.pdf,2020-04-01 7:30:00,2020-04-01 23:30:00
28,4,assignment week5,fungsi,.pdf,2020-04-20 7:30:00,2020-04-20 23:30:00
29,5,assignment week6,limit,.pdf,2020-05-01 7:30:00,2020-05-01 23:30:00
30,6,assignment week7,fungsi kontinu,.pdf,2020-05-20 7:30:00,2020-05-20 23:30:00
1,7,assignment week1,tugas perkenalan,.mp4,2020-01-03 6:00:00,2020-01-03 23:00:00
2,8,assignment week1,tugas perkenalan,.mp4,2020-01-04 6:00:00,2020-01-04 23:00:00
3,9,assignment week1,tugas perkenalan,.mp4,2020-01-05 6:00:00,2020-01-05 23:00:00
4,10,assignment week1,tugas perkenalan,link,2020-01-06 6:00:00,2020-01-06 23:00:00